system:index,id,mode,.geo
0,574,95.0,"{""type"":""Point"",""coordinates"":[-124.18487354817823,41.75670022324713]}"
1,575,52.0,"{""type"":""Point"",""coordinates"":[-122.36362696005497,41.994526870825304]}"
2,576,52.0,"{""type"":""Point"",""coordinates"":[-122.3633234526565,41.994591335133045]}"
3,577,52.0,"{""type"":""Point"",""coordinates"":[-122.38157606455314,41.993023368734605]}"
4,578,42.0,"{""type"":""Point"",""coordinates"":[-122.41180106480236,41.9630064431583]}"
5,579,71.0,"{""type"":""Point"",""coordinates"":[-122.36506866180189,41.83903450678206]}"
6,580,52.0,"{""type"":""Point"",""coordinates"":[-122.36269050011543,41.84354903681004]}"
7,581,52.0,"{""type"":""Point"",""coordinates"":[-122.40082385557525,41.912429447286726]}"
8,582,42.0,"{""type"":""Point"",""coordinates"":[-122.36268555033283,41.98148760577839]}"
9,583,42.0,"{""type"":""Point"",""coordinates"":[-122.34672202118395,41.977149224486716]}"
10,584,71.0,"{""type"":""Point"",""coordinates"":[-122.53659460926167,41.79038187972866]}"
11,585,71.0,"{""type"":""Point"",""coordinates"":[-121.99673619432672,41.89850631864135]}"
12,586,22.0,"{""type"":""Point"",""coordinates"":[-122.49964589689448,41.8882976781933]}"
13,587,52.0,"{""type"":""Point"",""coordinates"":[-122.36345284581517,41.62995566563803]}"
14,588,52.0,"{""type"":""Point"",""coordinates"":[-122.36649267447707,41.62502269111358]}"
15,589,71.0,"{""type"":""Point"",""coordinates"":[-122.38178596778226,41.61766900897038]}"
16,590,71.0,"{""type"":""Point"",""coordinates"":[-122.49685033642824,41.70937911809587]}"
17,591,82.0,"{""type"":""Point"",""coordinates"":[-122.52550351637818,41.655633804649014]}"
18,592,81.0,"{""type"":""Point"",""coordinates"":[-122.58084315799141,41.730426036123504]}"
19,593,71.0,"{""type"":""Point"",""coordinates"":[-122.4560386818795,41.51800197516395]}"
20,594,23.0,"{""type"":""Point"",""coordinates"":[-122.36315228197263,41.50032226947055]}"
21,595,22.0,"{""type"":""Point"",""coordinates"":[-122.36339575466701,41.5003191940359]}"
22,596,42.0,"{""type"":""Point"",""coordinates"":[-122.37424364476607,41.445338832229304]}"
23,597,22.0,"{""type"":""Point"",""coordinates"":[-122.30230433304074,41.31606200730229]}"
24,598,31.0,"{""type"":""Point"",""coordinates"":[-122.35596307783,41.375038475305644]}"
25,599,42.0,"{""type"":""Point"",""coordinates"":[-122.26403962230071,41.24168763151256]}"
26,600,21.0,"{""type"":""Point"",""coordinates"":[-122.31931570644821,41.2834922063798]}"
27,601,22.0,"{""type"":""Point"",""coordinates"":[-122.25458097959078,41.26542638895989]}"
28,602,42.0,"{""type"":""Point"",""coordinates"":[-122.27916108347871,41.20985547606524]}"
29,603,52.0,"{""type"":""Point"",""coordinates"":[-122.74640857553226,41.654980044865646]}"
30,604,71.0,"{""type"":""Point"",""coordinates"":[-122.63793441050285,41.71742052058483]}"
31,605,42.0,"{""type"":""Point"",""coordinates"":[-122.72994443885615,41.72078221774239]}"
32,606,21.0,"{""type"":""Point"",""coordinates"":[-123.01462579864179,41.75992242550432]}"
33,607,71.0,"{""type"":""Point"",""coordinates"":[-123.05158244219376,41.78018724058789]}"
34,608,42.0,"{""type"":""Point"",""coordinates"":[-123.12793203404358,41.81359095724652]}"
35,609,42.0,"{""type"":""Point"",""coordinates"":[-123.28858694610639,41.860652628957396]}"
36,610,71.0,"{""type"":""Point"",""coordinates"":[-123.45993205636155,41.90977593567643]}"
37,611,82.0,"{""type"":""Point"",""coordinates"":[-122.88815002694098,41.55234554382943]}"
38,612,82.0,"{""type"":""Point"",""coordinates"":[-122.86897643826595,41.434501838738974]}"
39,613,23.0,"{""type"":""Point"",""coordinates"":[-122.28970979768494,41.18159243791198]}"
40,614,42.0,"{""type"":""Point"",""coordinates"":[-122.30518487775774,41.16135262217451]}"
41,615,42.0,"{""type"":""Point"",""coordinates"":[-122.34652947613831,41.09886873881853]}"
42,616,42.0,"{""type"":""Point"",""coordinates"":[-122.37448830380896,41.0636416186256]}"
43,617,52.0,"{""type"":""Point"",""coordinates"":[-122.41995964821855,40.99754809975026]}"
44,618,21.0,"{""type"":""Point"",""coordinates"":[-121.89809715590727,41.987482930005385]}"
45,619,81.0,"{""type"":""Point"",""coordinates"":[-121.74628214009037,41.91273780915786]}"
46,620,21.0,"{""type"":""Point"",""coordinates"":[-121.40643633252789,41.97603968119711]}"
47,621,71.0,"{""type"":""Point"",""coordinates"":[-121.56550427474721,41.96202625076209]}"
48,622,52.0,"{""type"":""Point"",""coordinates"":[-121.31769167509098,41.80174139336633]}"
49,623,71.0,"{""type"":""Point"",""coordinates"":[-121.25106641782162,41.66949250140526]}"
50,624,71.0,"{""type"":""Point"",""coordinates"":[-121.06700945317883,41.52647725158485]}"
51,625,22.0,"{""type"":""Point"",""coordinates"":[-120.8805823109399,41.44454034420838]}"
52,626,52.0,"{""type"":""Point"",""coordinates"":[-120.69806013168485,41.47609094597799]}"
53,627,52.0,"{""type"":""Point"",""coordinates"":[-122.33558845348958,41.97945495759892]}"
54,628,82.0,"{""type"":""Point"",""coordinates"":[-122.04234365848318,41.81613970275894]}"
55,629,42.0,"{""type"":""Point"",""coordinates"":[-122.18188983210963,41.266377960837445]}"
56,630,52.0,"{""type"":""Point"",""coordinates"":[-120.39068715350963,41.641646701661024]}"
57,631,42.0,"{""type"":""Point"",""coordinates"":[-120.91555137627222,41.486047632033426]}"
58,632,82.0,"{""type"":""Point"",""coordinates"":[-121.41391077737414,41.93257176036312]}"
59,633,22.0,"{""type"":""Point"",""coordinates"":[-121.518669799665,41.9537408413911]}"
60,634,31.0,"{""type"":""Point"",""coordinates"":[-122.35982476223452,41.98042992370411]}"
61,635,52.0,"{""type"":""Point"",""coordinates"":[-122.28867590737038,41.996902279465516]}"
62,636,52.0,"{""type"":""Point"",""coordinates"":[-122.18152909585368,41.970249151443014]}"
63,637,42.0,"{""type"":""Point"",""coordinates"":[-122.34580754926893,41.98567358351064]}"
64,638,21.0,"{""type"":""Point"",""coordinates"":[-122.36010876437811,41.9758477255386]}"
