Name,kV,kV_Sort,Owner,Status,Circuit,Type,Legend,Length_Mil,Length_Fee,TLine_Name,Source,Comments,Creator,Creator_Da,Last_Edito,Last_Edi_1,GlobalID,geometry,lon,lat,risk_label,NDVI,slope,landcover
AMP 115kV,115.0,115.0,AMP,Operational,Single,OH,Other_110_161kV,2.0,10879.98077483,,AMP,,FTHONG,2012-08-31,SVC_AGIS_SQLADM,2016-04-25,e250d3dd-0564-42f8-822f-73f741c17218,POINT (-122.22836448945588 37.7658690198106),-122.22836448945588,37.7658690198106,0,0.2615626403233048,2.5215543326472423,23.0
AMP 115kV,115.0,115.0,AMP,Operational,Single,OH,Other_110_161kV,3.0,16505.41123852,,AMP,,FTHONG,2012-08-31,SVC_AGIS_SQLADM,2016-04-25,16eb0e69-4e5b-4af0-acce-37915f94d9b3,POINT (-122.26850416549792 37.776213626559965),-122.26850416549792,37.776213626559965,0,0.5028514528831356,2.988724708557129,22.0
AMP 115kV,115.0,115.0,AMP,Operational,Single,OH,Other_110_161kV,1.0,3807.24014248,,AMP,,FTHONG,2012-08-31,SVC_AGIS_SQLADM,2016-04-25,c1c874a0-f619-4537-8537-3f4cdb4e0982,POINT (-122.29127321323797 37.7842269910739),-122.29127321323797,37.7842269910739,0,0.2606924643584521,6.87054967880249,23.0
AMP 115kV,115.0,115.0,AMP,Operational,Single,OH,Other_110_161kV,1.0,6135.61557739,,AMP,Partially underwater,FTHONG,2012-08-31,SVC_AGIS_SQLADM,2016-04-25,7809d1a4-1fb9-4841-bf9a-192acb047266,POINT (-122.2813507801293 37.79164477547769),-122.2813507801293,37.79164477547769,0,0.0506841395259202,0.9274099469184875,24.0
ANZA 34kV,34.0,34.0,ANZA,Operational,Single,OH,Other_33_92kV,24.0,127189.40561552,,City of Anza,,FTHONG,2012-08-24,SVC_AGIS_SQLADM,2016-04-25,e26bc920-7d3b-404d-9b5e-0d65db992b62,POINT (-116.6824082306346 33.59511614651781),-116.6824082306346,33.59511614651781,0,0.6028634358391407,4.339175336669826,52.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,2.0,9248.84138798,,APUD,,FTHONG,2012-08-08,SVC_AGIS_SQLADM,2016-04-25,29dec1d5-39a7-4a3e-a765-3666f45d6a4e,POINT (-117.97485640544454 33.83003276566536),-117.97485640544454,33.83003276566536,0,0.330989010989011,2.416574716567993,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,0.0,636.64196228,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,0fe4a285-d4be-4498-ad82-f3f91d119116,POINT (-117.9101680410337 33.84760830709163),-117.9101680410337,33.84760830709163,0,0.1836618109111682,2.9954848289489746,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,3.0,13212.03647399,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,21d4e5c4-886f-4c31-ac1f-e7f80fac9f43,POINT (-117.90033324783049 33.82991702281367),-117.90033324783049,33.82991702281367,0,0.01887369144953,1.4511960744857788,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,1.0,5195.39335633,,APUD,,FTHONG,2012-08-22,SVC_AGIS_SQLADM,2016-04-25,41bdeb52-ae78-4875-935c-5cf5e76fe1e2,POINT (-117.90082085543642 33.81998823915088),-117.90082085543642,33.81998823915088,0,0.1587621187912169,4.98546838760376,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,1.0,4448.30375512,,APUD,,FTHONG,2012-08-22,SVC_AGIS_SQLADM,2016-04-25,37302b69-0d96-441a-9441-19cd6e9f11a8,POINT (-117.90044394524008 33.81963977476689),-117.90044394524008,33.81963977476689,0,0.0686005488043904,3.8684065341949454,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,2.0,11864.3851525,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,d1d42e49-7413-4591-86db-fd840c9849c4,POINT (-117.84360437084074 33.861181207603316),-117.84360437084074,33.861181207603316,0,0.0203774107784638,3.8685615062713614,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,0.0,2153.1675585,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,5a824f69-7dcd-4e01-bc47-a9c6b5316fe6,POINT (-117.85882966393972 33.85525250663916),-117.85882966393972,33.85525250663916,0,0.0560792458859242,4.553082942962647,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,1.0,7586.0947532,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,9d785141-8abf-4166-8295-e74432792762,POINT (-117.81888710288705 33.866861453673316),-117.81888710288705,33.866861453673316,0,0.0670230263157894,1.1168681383132937,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,2.0,9321.95936716,,APUD,,FTHONG,2012-08-08,SVC_AGIS_SQLADM,2016-04-25,9907e335-9576-421e-af45-f199a09566fa,POINT (-117.95975211508221 33.81763245322386),-117.95975211508221,33.81763245322386,0,0.1099905166174183,2.416273832321167,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,1.0,5572.13730509,,APUD,,FTHONG,2012-08-08,SVC_AGIS_SQLADM,2016-04-25,9a0e392b-c115-4722-a6db-31ea44ec98b7,POINT (-117.93378965359034 33.814501094098674),-117.93378965359034,33.814501094098674,0,0.6698630048171993,1.1161823272705078,21.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,0.0,1065.07962193,,APUD,,FTHONG,2012-08-08,SVC_AGIS_SQLADM,2016-04-25,2bc8fbd7-85dc-4dbb-baf8-869f71aa6e3b,POINT (-117.93095326648358 33.817889513086136),-117.93095326648358,33.817889513086136,0,0.1661899278081157,2.9953393936157227,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,3.0,17482.19329398,,APUD,,FTHONG,2012-08-15,SVC_AGIS_SQLADM,2016-04-25,757bc1f1-0107-4b83-9ce3-c0f7ff4ac718,POINT (-117.94383437902376 33.840876013719296),-117.94383437902376,33.840876013719296,0,0.0104543234000977,2.232213497161865,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,0.0,1599.02203003,,APUD,,FTHONG,2012-08-15,SVC_AGIS_SQLADM,2016-04-25,fe1b4de0-c50b-475c-87c2-30eef79ba882,POINT (-117.92112496887523 33.85119700966747),-117.92112496887523,33.85119700966747,0,0.0089148478327697,3.56347131729126,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,1.0,4370.71398305,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,cbbb867b-69d3-4153-95dc-666bd5713b1b,POINT (-117.91509402598949 33.850616457792476),-117.91509402598949,33.850616457792476,0,0.0440971253139826,1.4514025449752808,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,1.0,2923.98292167,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,cb835e95-ea9c-47d3-9022-630771a2f1f7,POINT (-117.92409874110889 33.82834340655857),-117.92409874110889,33.82834340655857,0,0.1622423069410657,1.116363525390625,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,0.0,1485.08800694,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,66defede-3f14-44e2-ada8-e15ec11ee6b5,POINT (-117.90156968787127 33.808633063016956),-117.90156968787127,33.808633063016956,0,-0.0340784521869474,2.1639108657836914,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,1.0,4117.87551692,,APUD,,FTHONG,2012-08-08,SVC_AGIS_SQLADM,2016-04-25,b22d73bb-90c6-4ba9-bbec-1bf1e85fba22,POINT (-117.90476476178272 33.82155706131293),-117.90476476178272,33.82155706131293,0,-0.0089246266678448,1.116276502609253,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,1.0,2642.91325702,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,1aee128b-ac72-4834-a5ba-4a31fea3c705,POINT (-117.90284443736275 33.814458155668234),-117.90284443736275,33.814458155668234,0,0.1104193014884716,1.854334115982056,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,0.0,906.99195995,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,80a270bd-8aab-4680-bafd-39ee60c48dec,POINT (-117.90229538847136 33.805935211755745),-117.90229538847136,33.805935211755745,0,-0.0064281721632196,0.0,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,0.0,1582.51140766,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,9a8ab61b-26cb-4585-a2a7-1aa34720c367,POINT (-117.90826617054107 33.847308235920096),-117.90826617054107,33.847308235920096,0,0.1179136224914454,8.28909969329834,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,0.0,1594.88829723,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,998f5ea3-97d1-48d6-ad7c-0191fdde7a92,POINT (-117.85750923059851 33.858572514915124),-117.85750923059851,33.858572514915124,0,0.2328729659510461,2.1642470359802246,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,1.0,4716.56937894,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,f39cf54c-dcae-4fbc-81a7-755ea590e413,POINT (-117.867458284891 33.856091439312245),-117.867458284891,33.856091439312245,0,0.0500756025971715,3.5635528564453125,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,1.0,2774.61504786,,APUD,,FTHONG,2012-08-16,SVC_AGIS_SQLADM,2016-04-25,23af4ddd-32b6-4cf6-b4ea-df6ca5102504,POINT (-117.80648980716886 33.86172726851286),-117.80648980716886,33.86172726851286,0,0.3893398268398269,4.8261003494262695,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,0.0,1385.26995177,,APUD,,FTHONG,2012-08-22,SVC_AGIS_SQLADM,2016-04-25,b6e137e0-0e64-4056-bb7d-97cba210c401,POINT (-117.87873053702914 33.85335748404126),-117.87873053702914,33.85335748404126,0,0.2233429353837929,6.558992862701416,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,1.0,3396.51477823,,APUD,,FTHONG,2012-08-22,SVC_AGIS_SQLADM,2016-04-25,562179a7-21d9-4fb3-a3cd-cbf53d7a52ed,POINT (-117.88251697739354 33.848036682718444),-117.88251697739354,33.848036682718444,0,0.2795275590551181,4.346705913543701,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,1.0,4910.37088645,,APUD,,FTHONG,2012-08-24,SVC_AGIS_SQLADM,2016-04-25,79cb0789-089c-45dc-97a6-89e2f5b41eb3,POINT (-117.7809923214269 33.86115840678068),-117.7809923214269,33.86115840678068,0,0.2982152888812066,1.4515087604522705,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,0.0,789.9013305,,APUD,,FTHONG,2012-08-24,SVC_AGIS_SQLADM,2016-04-25,14358167-a41b-4195-bee3-207b3be898f4,POINT (-117.77416997790135 33.862418412735636),-117.77416997790135,33.862418412735636,0,0.0145043857134667,8.92204475402832,23.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,3.0,13346.81181393,,APUD,,FTHONG,2012-08-24,SVC_AGIS_SQLADM,2016-04-25,b5a6f99b-255b-4542-90c5-a80f6006c648,POINT (-117.81471082496772 33.858934130697335),-117.81471082496772,33.858934130697335,0,0.0392662654055603,2.1642508506774902,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,0.0,803.52545914,,APUD,,FTHONG,2012-08-24,SVC_AGIS_SQLADM,2016-04-25,c6c44730-4071-4d7a-8a02-2eed0f8ae631,POINT (-117.85578882559577 33.852864557003585),-117.85578882559577,33.852864557003585,0,0.0673826736517449,2.900989532470703,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,0.0,630.5093878,,APUD,,FTHONG,2012-08-24,SVC_AGIS_SQLADM,2016-04-25,66f486c3-13e8-42bd-ac48-bd380c4c8307,POINT (-117.85725160681037 33.852996301383904),-117.85725160681037,33.852996301383904,0,0.0415108798615746,3.346672534942627,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Double,OH,Other_33_92kV,2.0,9679.90082898,,APUD,,FTHONG,2012-08-24,SVC_AGIS_SQLADM,2016-04-25,025b99f4-8dab-49b0-8743-c2b1b02dbbd6,POINT (-117.86987610245629 33.843909394738205),-117.86987610245629,33.843909394738205,0,0.0306564335634352,2.164148092269897,24.0
APUD 69kV,69.0,69.0,APUD,Operational,Single,OH,Other_33_92kV,1.0,4902.29632926,,APUD,,FTHONG,2012-08-24,SVC_AGIS_SQLADM,2016-04-25,5377ebcb-1946-4e97-8c4e-8be9f6603a97,POINT (-117.79928256581661 33.85736123737602),-117.79928256581661,33.85736123737602,0,0.0907929501725156,5.642614364624023,24.0
BLYENG 220kV,220.0,220.0,BLYTHE ENERGY,Operational,Single,OH,Other_200_287kV,50.0,262841.05196219,,Roger Johnson,,FTHONG,2012-08-21,SVC_AGIS_SQLADM,2016-04-25,62f4f9c5-0c82-4e0c-8232-fe4c4e0e9a73,POINT (-115.3045911418711 33.655685148037776),-115.3045911418711,33.655685148037776,0,0.0967387213431296,29.54914533510256,52.0
BLYENG 220kV,220.0,220.0,BLYTHE ENERGY,Operational,Double,OH,Other_200_287kV,17.0,88194.49983909,,Roger Johnson,,ACOLE,2012-08-21,SVC_AGIS_SQLADM,2016-04-25,d0ab8193-76a7-4abb-aa33-ed6df81919fb,POINT (-114.77855750718477 33.57799888307904),-114.77855750718477,33.57799888307904,0,0.0817281827914516,1.1131165171227697,31.0
BPA 230kV,230.0,230.0,BPA,Operational,Single,OH,Other_200_287kV,67.0,356248.50353462,Malin-Warner,NAIP,,AKOZHEVNIKOV,2009-02-09,SVC_AGIS_SQLADM,2016-04-25,46caf156-0c06-420d-a0ff-ca7ba029c49b,POINT (-121.04335232040793 41.65383472362031),-121.04335232040793,41.65383472362031,0,0.401978965710374,0.9274099368729608,42.0
BVES 34kV,34.0,34.0,BVES,Operational,Single,OH,Other_33_92kV,9.0,47558.64081214,Shay And Baldwin,BVES,,PRECORD,2013-04-15,SVC_AGIS_SQLADM,2016-04-25,b8c0ada0-29ee-4934-b6d3-b7d8d4e52bc6,POINT (-116.8134420113597 34.275633661957514),-116.8134420113597,34.275633661957514,0,0.0187872131337071,0.9274099469184875,95.0
BVES 34kV,34.0,34.0,BVES,Operational,Single,OH,Other_33_92kV,2.0,8677.8641122,,BVES,,FTHONG,2013-04-15,SVC_AGIS_SQLADM,2016-04-25,e5de2a4b-5a18-42da-923e-5c2ed2dacb81,POINT (-116.82303961925187 34.25895410289257),-116.82303961925187,34.25895410289257,0,0.2028502680330775,2.909228563308716,21.0
BVES 34kV,34.0,34.0,BVES,Operational,Single,OH,Other_33_92kV,1.0,3397.64477054,,BVES,,PRECORD,2013-04-19,SVC_AGIS_SQLADM,2016-04-25,fbb8be36-ece2-4199-8f1c-07ae2d160a49,POINT (-116.83017041014313 34.26266961787075),-116.83017041014313,34.26266961787075,0,0.5386900127891107,3.704791784286499,21.0
BVES 34kV,34.0,34.0,BVES,Operational,Single,OH,Other_33_92kV,4.0,22641.96159702,,BVES,,PRECORD,2013-04-19,SVC_AGIS_SQLADM,2016-04-25,83e5298e-b5f6-47eb-93fc-43282ba125bc,POINT (-116.86053182487639 34.25496271905349),-116.86053182487639,34.25496271905349,0,0.3566066423960197,5.138146877288818,21.0
BVES 34kV,34.0,34.0,BVES,Operational,Single,OH,Other_33_92kV,0.0,1666.8870326,,BVES,,PRECORD,2013-04-19,SVC_AGIS_SQLADM,2016-04-25,957a0ccf-2c63-481a-acbe-20f280f3a94d,POINT (-116.86629169210727 34.260019784736066),-116.86629169210727,34.260019784736066,0,0.2597368667369567,1.4555639028549194,23.0
BVES 34kV,34.0,34.0,BVES,Operational,Single,OH,Other_33_92kV,1.0,4434.88274355,,BVES,,PRECORD,2013-04-19,SVC_AGIS_SQLADM,2016-04-25,2e4bdd59-0d3b-43c6-8310-236a42b3cfe5,POINT (-116.84627786543062 34.26983377496907),-116.84627786543062,34.26983377496907,0,0.3237633598760625,2.9094510078430176,22.0
BVES 34kV,34.0,34.0,BVES,Operational,Single,OH,Other_33_92kV,1.0,6726.07873989,,BVES,Partially underground,PRECORD,2013-04-19,SVC_AGIS_SQLADM,2016-04-25,c7e4b031-c0f2-4bf1-a203-740b4b651ce5,POINT (-116.85938166081182 34.26564503171264),-116.85938166081182,34.26564503171264,0,0.1913412592276006,7.705203533172607,21.0
BVES 34kV,34.0,34.0,BVES,Operational,Single,OH,Other_33_92kV,1.0,5519.89365972,,BVES,,PRECORD,2013-04-19,SVC_AGIS_SQLADM,2016-04-25,918e3fe5-4019-4cad-8c58-8ff481e78464,POINT (-116.87470999310146 34.264115492137414),-116.87470999310146,34.264115492137414,0,0.2249596881909231,6.476412296295166,22.0
